OrderID,CustomerID,OrderDate,ShipmentDate,DeliveryDate,ShipmentMode,ProductCategory,ProductID,Quantity,UnitPrice,TotalPrice,Discount,ShippingCost,OrderStatus,SourceCity,SourceState,DestinationCity,DestinationState,DeliveryTimeDays,Carrier
6875ee14-fca3-467f-93a9-7e7b4e4bf4a1,5b869bdb-9ad2-41a4-bccc-04a16e5bea2e,2022-11-15,2024-03-31,2024-06-30,Sea,Clothing,3c995c8b-d687-4ea9-8e7a-8e85b733ad37,90,137.40950011581756,7767.598802193873,0.40003835237414126,32.741195683677255,Shipped,New Bradley,Illinois,West Melissaberg,Texas,14.3364622320181,UPS
91c3ec11-9265-4bbe-b29b-891347f2606a,5b4d73a2-0aa3-4664-b46f-a3f6278d6faf,2022-09-22,2022-11-19,2023-06-28,Rail,Clothing,2de80652-6fef-4dfb-a478-18d8b43f5392,38,276.05832467039005,6570.44210833645,0.36290688756321643,50.76399780005335,Shipped,Griffinfurt,Illinois,New Ginaborough,California,19.685489863375714,Amazon Logistics
83234702-1ed4-4879-9a19-4a709e0e96f6,205a35ef-4d2d-458a-a919-76a9b652e23b,2022-10-02,2023-10-01,2024-01-28,Air,Clothing,1d0bfaa2-8317-4688-916d-525c0fae06b5,12,79.23241945542351,503.28943114806475,0.4740123838684742,60.415285572688376,Shipped,Lake Carlamouth,Florida,New Leah,California,30.62167303437677,UPS
127377e0-cf9a-457d-bb72-268de7fa6056,f2e4f888-4617-43b0-869f-c0a9b8fb9cdb,2022-12-06,2024-04-09,2024-07-30,Rail,Food,695f41eb-cf8d-4941-affe-f1bd735435e3,90,129.21369275916277,6509.3012033097975,0.4337292102185032,50.82661560843533,Shipped,East Justin,New York,Robertmouth,California,19.22455430774985,Amazon Logistics
a395bab8-3b59-4162-b911-e37788925672,3fec6668-07d5-47e2-8d4d-6d906141d390,2024-02-26,2024-06-09,2024-07-28,Air,Food,26fc7f2e-a82f-4308-8208-d058d351798c,50,67.99907731401237,1920.9374654666851,0.46135721486839576,41.15368746476028,Shipped,New Kristamouth,Illinois,Port Randyport,Texas,11.256788138297328,DHL
ce5c66c9-4493-4dbe-8323-027d75246a4d,5ae32faa-f5c5-429e-95a5-add6e677749a,2023-05-19,2023-12-24,2024-03-31,Road,Food,a7cfe17f-5ab3-488a-b245-65e005811e7c,22,197.98477174777452,2400.3445973838952,0.42429993076804007,13.670247581556282,Shipped,Duncanchester,New York,Normanstad,Florida,17.84229582564258,USPS
96a36aa0-1aa3-4097-85a9-b74fa27a54f1,6152ede3-9473-4da4-a0bd-e67e18f301e5,2022-08-31,2024-07-21,2024-07-22,Road,Food,99fb5f6c-a5f7-4f31-a8d8-0027ba6e757e,21,131.38499009668004,1794.802132380822,0.35538343075957557,11.131575334677974,Returned,South Kyletown,California,Stephaniebury,Illinois,1.0,USPS
cac0e9e4-4d9d-46c9-853e-f80947bde7d4,48d15963-badc-4daf-8966-460a0b3a9a10,2023-09-22,2024-05-01,2024-07-27,Road,Clothing,1f1b2a12-aff7-4e2f-aaf2-bb07c5e4d86e,24,205.4910765330755,2643.190944541245,0.48863308769698566,33.547031773660756,Cancelled,Brownborough,Florida,South Cindytown,California,29.590531334418117,Amazon Logistics
9d6f1387-8792-4b7d-8952-70fb7da59259,882f3a8c-0ac9-466c-a58a-fa7a97aa270c,2023-11-09,2023-12-30,2024-08-05,Rail,Food,f341cef5-b26b-4163-a45b-d8c5c1478e0a,50,91.36704467935904,2891.208540820505,0.3716948576345588,20.61338632993831,Cancelled,Rileyview,California,East Wendy,Illinois,4.690407435446424,USPS
a36882e2-067b-42f8-a4b4-f68e64692445,84a6d757-2678-4b07-97e6-1f18a6f3d225,2023-09-16,2024-01-23,2024-02-25,Sea,Clothing,7af9de0b-8999-4838-b993-520aca7c09d7,95,158.76519801488843,9116.092889439857,0.42195002609647225,11.784295214196323,Shipped,Port Scott,California,New Alyssa,California,11.63679870279167,UPS
